Participant,EAR,MAR,MOE,Y
1.0,0.3522545255114691,0.9982641200641612,2.833928445957349,0
1.0,0.3243409679905807,0.9930032023766772,3.0616027587532986,0
1.0,0.3677277279516253,0.9999410317026508,2.719242949865868,0
1.0,0.3266775377918476,1.0000421783642297,3.0612517319799206,0
1.0,0.2046907211341522,0.9750331134005846,4.763445592443625,0
1.0,0.3222489855008155,0.9906533129672188,3.0741859789802555,0
1.0,0.3482198421786516,0.998664706692644,2.8679144199378697,0
1.0,0.2845396045581932,0.9889604703847712,3.475651383997449,0
1.0,0.2965421391011872,1.0007222514415444,3.374637596109315,0
1.0,0.3515815355355596,1.0133742736386495,2.8823307574869927,0
1.0,0.3335250861409609,1.0055161721393546,3.0148142191450744,0
1.0,0.3328201177351375,0.9953255271845148,2.990581020034996,0
1.0,0.3379047353174748,0.9854121531586644,2.916242509098995,0
1.0,0.3405395812477108,1.0178269368390511,2.988865297566327,0
1.0,0.2840801432056559,0.9879224169788032,3.4776186953116617,0
1.0,0.2436872238974252,0.9889487480151502,4.058270812061227,0
1.0,0.2813348075463117,0.9878393840397692,3.511259032095261,0
1.0,0.2874963742440695,0.990691045838004,3.44592535625148,0
1.0,0.31685852735847,0.9904842973453386,3.125951211105576,0
1.0,0.3217457308855164,1.002002447104558,3.1142680412474246,0
1.0,0.2918927452801467,0.9897764788978092,3.3908909861663807,0
1.0,0.3407720381878814,1.0029692002420034,2.943226227056299,0
1.0,0.3156817925112105,1.0073252656505052,3.1909514249692856,0
1.0,0.3310952583275594,0.996092414190792,3.00847683298846,0
1.0,0.3384666233462582,1.0062018879894556,2.972824552216159,0
1.0,0.3231895001440923,1.0078650785668544,3.1184957373847326,0
1.0,0.2729084170908039,1.0181886249651135,3.7308802557978087,0
1.0,0.3549467564209914,1.0090043466227168,2.84269211753542,0
1.0,0.3235184725572546,0.9954533918248748,3.076959976833176,0
1.0,0.3205633839928947,1.0129780948171383,3.159993141448716,0
1.0,0.32708287392103,1.0049521955161211,3.072469626638887,0
1.0,0.3405395812477108,1.0053907265429831,2.9523461644585014,0
1.0,0.3103019682558155,0.9982144806141798,3.2169131450408446,0
1.0,0.340140520433616,1.008332054753978,2.964457317430284,0
1.0,0.2644238824884555,0.9946781130950816,3.7616803131937537,0
1.0,0.3073010657051071,1.0038632873325195,3.2667094239622614,0
1.0,0.3219375272701484,0.9976859063045088,3.0990046881590088,0
1.0,0.3487758106277812,1.004221636910442,2.879275472409876,0
1.0,0.2781913058149917,0.9860705307060562,3.5445770953094864,0
1.0,0.2262992383607316,0.9773412479223604,4.318800429917633,0
1.0,0.3200310904993766,0.9991679966594444,3.12209665348558,0
1.0,0.275292802805592,0.9817063272682652,3.5660442890747595,0
1.0,0.2698345906607564,0.989805454773844,3.668193363756892,0
